timestamp,condition,ins_type,strike_price,expiry,price,type,buy_or_sell,status,pnl,balance
15-04-19 15:23,Profit Premimum below 15; bying again,PE,11650,18-04-19,23.5,1,sell,open,-,398.75
15-04-19 15:30,weekly closing,CE,11700,18-04-19,44.4,2,sell,closed,-12.55,386.2
15-04-19 15:30,weekly closing,CE,11900,18-04-19,1.1,2,buy,closed,-3.5,382.7
15-04-19 15:30,weekly closing,CE,11700,18-04-19,44.4,1,sell,closed,-12.55,370.15
15-04-19 15:30,weekly closing,PE,11650,18-04-19,24.15,1,sell,closed,-0.65,369.5
15-04-19 15:30,weekly reopening,CE,11850,25-04-19,32.95,1,sell,open,-,369.5
16-04-19 9:30,premimum > 40; type2 purchase,PE,11600,25-04-19,26.15,2,sell,open,-,369.5
16-04-19 9:30,premimum > 40; type2 purchase,PE,11600,25-04-19,26.15,1,sell,open,-,369.5
18-04-19 9:30,Profit Premimum below 15,PE,11600,25-04-19,14.4,2,sell,closed,11.75,381.25
18-04-19 9:30,Profit Premimum below 15,PE,11600,25-04-19,14.4,1,sell,closed,11.75,393
18-04-19 9:30,Profit Premimum below 15; bying again,PE,11700,25-04-19,26.6,1,sell,open,-,393
18-04-19 9:30,premimum > 40; type2 purchase,PE,11700,25-04-19,26.6,2,sell,open,-,393
22-04-19 9:30,Profit Premimum below 15,CE,11850,25-04-19,12.5,1,sell,closed,20.45,413.45
22-04-19 9:30,Profit Premimum below 15; bying again,CE,11750,25-04-19,34.35,1,sell,open,-,413.45
22-04-19 15:20,Profit Premimum below 15,CE,11750,25-04-19,14.95,1,sell,closed,19.4,432.85
22-04-19 15:20,Profit Premimum below 15; bying again,CE,11700,25-04-19,26.25,1,sell,open,-,432.85
22-04-19 15:30,weekly closing,CE,11700,25-04-19,26.35,1,sell,closed,-0.1,432.75
30-04-19 15:15,60 < RSI-D; crossover 55,PE,11750,02-05-19,34,1,sell,open,-,432.75
30-04-19 15:30,weekly closing,PE,11750,02-05-19,33.7,1,sell,closed,0.3,433.05
02-05-19 13:15,45 < RSI-D < 60; crossunder 55,CE,11850,09-05-19,26.2,1,sell,open,-,433.05
