timestamp,condition,ins_type,strike_price,expiry,price,type,buy_or_sell,status,pnl,balance
2019-02-27 11:15:00,40 < RSI-D < 60; 60 < RSI-H,PE,10700.0,2019-03-07,33.2,1,sell,open,-,62.25
2019-02-27 12:15:00,premimum > 45; type2 purchase,CE,11000.0,2019-03-07,32.1,2,sell,open,-,62.25
2019-02-28 09:34:00,Type 2 premium < 30,CE,11000.0,2019-03-07,29.6,2,sell,closed,2.5,64.75
2019-02-28 09:35:00,premimum > 45; type2 purchase,CE,11000.0,2019-03-07,29.0,2,sell,open,-,64.75
2019-02-28 09:35:00,premimum > 45; type2 purchase (Hedging),CE,11200.0,2019-03-07,3.6,2,buy,open,-,64.75
2019-02-28 09:35:00,Type 2 premium < 30,CE,11000.0,2019-03-07,29.0,2,sell,closed,0.0,64.75
2019-02-28 09:15:00,40 < RSI-D < 60; 40 < RSI-H < 60,CE,11000.0,2019-03-07,34.55,1,sell,open,-,64.75
2019-03-01 10:15:00,45 < RSI-D < 60; crossover 55,PE,10700.0,2019-03-07,26.95,1,sell,closed,6.2500000000000036,71.0
2019-03-01 14:15:00,40 < RSI-D < 60; 40 < RSI-H < 60,PE,10750.0,2019-03-07,35.65,1,sell,open,-,71.0
2019-03-01 15:15:00,45 < RSI-D < 60; crossover 55,PE,10750.0,2019-03-07,28.8,1,sell,closed,6.849999999999998,77.85
2019-03-05 09:15:00,Profit Premimum below 15,CE,11000.0,2019-03-07,8.8,1,sell,closed,25.749999999999996,103.6
2019-03-05 09:15:00,Profit Premimum below 15; bying again,CE,10900.0,2019-03-07,31.7,1,sell,open,-,103.6
2019-03-05 09:15:00,Profit Premimum below 15; bying again (Hedging),CE,11200.0,2019-03-07,0.95,1,buy,open,-,103.6
2019-03-05 11:15:00,40 < RSI-D < 60; 40 < RSI-H < 60,PE,10850.0,2019-03-07,36.45,1,sell,open,-,103.6
2019-03-05 11:15:00,40 < RSI-D < 60; 40 < RSI-H < 60 (Hedging),PE,10400.0,2019-03-07,1.7,1,buy,open,-,103.6
2019-03-05 11:15:00,45 < RSI-D < 60; crossover 55,PE,10850.0,2019-03-07,36.45,1,sell,closed,0.0,103.6
2019-03-05 12:15:00,40 < RSI-D < 60; 60 < RSI-H,PE,10850.0,2019-03-07,34.6,1,sell,open,-,103.6
2019-03-05 12:15:00,40 < RSI-D < 60; 60 < RSI-H (Hedging),PE,10400.0,2019-03-07,1.45,1,buy,open,-,103.6
2019-03-05 14:37:00,Profit Premimum below 15,PE,10850.0,2019-03-07,14.9,1,sell,closed,19.700000000000003,123.3
2019-03-05 14:37:00,Profit Premimum below 15; bying again,PE,10900.0,2019-03-07,25.3,1,sell,open,-,123.3
